age,qx
20,0.0012
21,0.00122
22,0.00124
23,0.00126
24,0.00128
25,0.0013
26,0.00132
27,0.00134
28,0.00136
29,0.00138
30,0.0014
31,0.00145
32,0.0015
33,0.00155
34,0.0016
35,0.00165
36,0.0017
37,0.00175
38,0.0018
39,0.0019
40,0.002
41,0.00215
42,0.0023
43,0.00245
44,0.0027
45,0.00295
46,0.0032
47,0.0035
48,0.0038
49,0.0041
50,0.0045
51,0.0049
52,0.0054
53,0.0059
54,0.0065
55,0.0072
56,0.008
57,0.009
58,0.01
59,0.0112
60,0.0125
61,0.0139
62,0.0154
63,0.017
64,0.0188
65,0.0207
66,0.0228
67,0.0251
68,0.0276
69,0.0303
70,0.0332
71,0.0364
72,0.0399
73,0.0437
74,0.0478
75,0.0523
76,0.0572
77,0.0626
78,0.0685
79,0.075
80,0.082
81,0.0897
82,0.098
83,0.107
84,0.117
85,0.128
86,0.14
87,0.153
88,0.167
89,0.182
90,0.198
91,0.215
92,0.233
93,0.252
94,0.272
95,0.293
